st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-08-29 16:08:00;2013-08-29 17:25:00;77;2,3;10,5;5,2;2013-08-29 16:08:00;2013-08-29 17:20:00;72;3,1;25,4;10,5;2013-08-29 16:19:00;2013-08-29 17:24:00;65;0,8;12,2;3,1;2013-08-29 16:10:00;2013-08-29 17:25:00;75;3,1;25,7;10
2013-08-30 05:01:00;2013-08-30 05:04:00;3;0;2;0,2;2013-08-30 05:01:00;2013-08-30 05:04:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-31 21:56:00;2013-09-01 05:22:00;446;7,3;12,7;8,3;2013-08-31 22:05:00;2013-09-01 04:19:00;374;10,4;37,9;15,7;2013-08-31 21:56:00;2013-09-01 04:26:00;390;5,1;6,4;4,3;2013-08-31 22:11:00;2013-09-01 05:22:00;431;6,3;25,7;7,5
2013-09-02 17:05:00;2013-09-02 18:39:00;94;0,6;4;1,4;2013-09-02 17:05:00;2013-09-02 18:29:00;84;0,7;6;1,8;2013-09-02 17:14:00;2013-09-02 18:34:00;80;0,6;6,4;1,3;2013-09-02 17:19:00;2013-09-02 18:39:00;80;0,6;6,1;1,2
2013-09-03 05:39:00;2013-09-03 05:42:00;3;0;2;0,2;2013-09-03 05:39:00;2013-09-03 05:42:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-09-03 11:16:00;2013-09-03 11:53:00;37;0,2;4;1;2013-09-03 11:16:00;2013-09-03 11:24:00;8;0,2;5,9;1,2;2013-09-03 11:20:00;2013-09-03 11:23:00;3;0,1;6,4;0,6;2013-09-03 11:16:00;2013-09-03 11:53:00;37;0,3;6,1;1,2
2013-09-04 02:35:00;2013-09-04 03:12:00;37;0,4;2,1;1,4;2013-09-04 02:35:00;2013-09-04 03:12:00;37;0,6;5,9;2,4;2013-09-04 02:44:00;2013-09-04 03:00:00;16;0,3;6,4;1,3;2013-09-04 02:39:00;2013-09-04 03:02:00;23;0,4;6,1;1,2
2013-09-05 03:21:00;2013-09-05 03:59:00;38;0,1;2,1;0,2;NA;NA;0;0;0;0;2013-09-05 03:56:00;2013-09-05 03:59:00;3;0,1;6,4;0,6;2013-09-05 03:21:00;2013-09-05 03:24:00;3;0,1;6,1;0,6
2013-09-09 04:55:00;2013-09-09 08:22:00;207;9,7;38,3;28,5;2013-09-09 04:58:00;2013-09-09 08:17:00;199;10,3;44,5;29,8;2013-09-09 04:55:00;2013-09-09 08:22:00;207;10,2;38;28,8;2013-09-09 04:59:00;2013-09-09 08:19:00;200;8,7;58,4;32
2013-09-10 13:35:00;2013-09-10 18:39:00;304;8,7;8,1;4,8;2013-09-10 13:35:00;2013-09-10 18:30:00;295;8,7;6,1;4,8;2013-09-10 13:49:00;2013-09-10 18:39:00;290;9,1;12,2;5,5;2013-09-10 13:39:00;2013-09-10 18:29:00;290;8,2;6,1;4,8
2013-09-10 21:31:00;2013-09-10 21:34:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-09-10 21:31:00;2013-09-10 21:34:00;3;0,1;6,1;0,6
2013-09-11 08:36:00;2013-09-11 08:39:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-09-11 08:36:00;2013-09-11 08:39:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-09-11 11:19:00;2013-09-11 11:22:00;3;0;2;0,2;2013-09-11 11:19:00;2013-09-11 11:22:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-09-12 07:29:00;2013-09-12 07:42:00;13;0,1;2,1;0,4;2013-09-12 07:35:00;2013-09-12 07:38:00;3;0,1;5,9;0,6;2013-09-12 07:29:00;2013-09-12 07:32:00;3;0,1;6,4;0,6;2013-09-12 07:39:00;2013-09-12 07:42:00;3;0,1;6,1;0,6
